Datetime,PJMW_MW,Consumption
2002-04-07,5387.331325301205,Basso
2002-04-14,4982.494047619048,Basso
2002-04-21,5254.184523809524,Basso
2002-04-28,5048.261904761905,Basso
2002-05-05,4982.964285714285,Basso
2002-05-12,4970.952380952381,Basso
2002-05-19,5059.226190476191,Basso
2002-05-26,5076.172619047619,Basso
2002-06-02,5389.732142857143,Basso
2002-06-09,5479.797619047619,Basso
2002-06-16,5689.2202380952385,Alto
2002-06-23,5605.702380952381,Alto
2002-06-30,6126.238095238095,Alto
2002-07-07,5982.440476190476,Alto
2002-07-14,5666.047619047619,Alto
2002-07-21,6263.684523809524,Alto
2002-07-28,6148.148809523809,Alto
2002-08-04,6665.684523809524,Alto
2002-08-11,5711.755952380952,Alto
2002-08-18,6475.2202380952385,Alto
2002-08-25,6212.238095238095,Alto
2002-09-01,5398.273809523809,Basso
2002-09-08,5612.392857142857,Alto
2002-09-15,5515.708333333333,Basso
2002-09-22,5645.869047619048,Alto
2002-09-29,5045.101190476191,Basso
2002-10-06,5358.833333333333,Basso
2002-10-13,5014.125,Basso
2002-10-20,5272.511904761905,Basso
2002-10-27,5325.988023952096,Basso
2002-11-03,5660.583333333333,Alto
2002-11-10,5463.184523809524,Basso
2002-11-17,5430.1547619047615,Basso
2002-11-24,5797.583333333333,Alto
2002-12-01,5701.244047619048,Alto
2002-12-08,6485.553571428572,Alto
2002-12-15,6365.446428571428,Alto
2002-12-22,6088.065476190476,Alto
2002-12-29,5833.285714285715,Alto
2003-01-05,5831.083333333333,Alto
2003-01-12,6296.113095238095,Alto
2003-01-19,6860.309523809524,Alto
2003-01-26,7010.488095238095,Alto
2003-02-02,6464.916666666667,Alto
2003-02-09,6412.071428571428,Alto
2003-02-16,6633.113095238095,Alto
2003-02-23,6178.773809523809,Alto
2003-03-02,6380.071428571428,Alto
2003-03-09,6112.261904761905,Alto
2003-03-16,5859.011904761905,Alto
2003-03-23,5283.303571428572,Basso
2003-03-30,5224.083333333333,Basso
2003-04-06,5340.413173652694,Basso
2003-04-13,5529.392857142857,Basso
2003-04-20,5064.005952380952,Basso
2003-04-27,5135.553571428572,Basso
2003-05-04,5017.017857142857,Basso
2003-05-11,5134.863095238095,Basso
2003-05-18,5070.809523809524,Basso
2003-05-25,5014.934523809524,Basso
2003-06-01,4891.916666666667,Basso
2003-06-08,5115.559523809524,Basso
2003-06-15,5483.636904761905,Basso
2003-06-22,5230.285714285715,Basso
2003-06-29,5829.494047619048,Alto
2003-07-06,5680.571428571428,Alto
2003-07-13,5796.952380952381,Alto
2003-07-20,5818.505952380952,Alto
2003-07-27,5889.386904761905,Alto
2003-08-03,5869.607142857143,Alto
2003-08-10,5861.232142857143,Alto
2003-08-17,6277.0952380952385,Alto
2003-08-24,6119.446428571428,Alto
2003-08-31,5980.297619047619,Alto
2003-09-07,5437.160714285715,Basso
2003-09-14,5398.922619047619,Basso
2003-09-21,5231.791666666667,Basso
2003-09-28,5193.648809523809,Basso
2003-10-05,5186.380952380952,Basso
2003-10-12,5128.75,Basso
2003-10-19,5219.148809523809,Basso
2003-10-26,5367.203592814371,Basso
2003-11-02,5295.190476190476,Basso
2003-11-09,5335.714285714285,Basso
2003-11-16,5672.488095238095,Alto
2003-11-23,5439.613095238095,Basso
2003-11-30,5542.452380952381,Basso
2003-12-07,6331.0297619047615,Alto
2003-12-14,6447.339285714285,Alto
2003-12-21,6633.398809523809,Alto
2003-12-28,5749.886904761905,Alto
2004-01-04,5633.202380952381,Alto
2004-01-11,6882.797619047619,Alto
2004-01-18,6884.077380952381,Alto
