Datetime,DEOK_MW,Consumption
2012-01-01,2629.913043478261,Basso
2012-01-08,3115.7619047619046,Alto
2012-01-15,3216.5535714285716,Alto
2012-01-22,3315.5535714285716,Alto
2012-01-29,3139.9226190476193,Alto
2012-02-05,2907.184523809524,Basso
2012-02-12,3250.595238095238,Alto
2012-02-19,3092.410714285714,Basso
2012-02-26,3023.565476190476,Basso
2012-03-04,2882.690476190476,Basso
2012-03-11,2877.4191616766466,Basso
2012-03-18,2648.5535714285716,Basso
2012-03-25,2784.9226190476193,Basso
2012-04-01,2594.6369047619046,Basso
2012-04-08,2539.535714285714,Basso
2012-04-15,2628.9583333333335,Basso
2012-04-22,2621.375,Basso
2012-04-29,2626.8809523809523,Basso
2012-05-06,3025.0416666666665,Basso
2012-05-13,2740.4523809523807,Basso
2012-05-20,2867.2380952380954,Basso
2012-05-27,3298.315476190476,Alto
2012-06-03,3058.1071428571427,Basso
2012-06-10,3014.720238095238,Basso
2012-06-17,3350.279761904762,Alto
2012-06-24,3760.0119047619046,Alto
2012-07-01,3635.6011904761904,Alto
2012-07-08,4160.267857142857,Alto
2012-07-15,3709.8273809523807,Alto
2012-07-22,3772.1130952380954,Alto
2012-07-29,3862.940476190476,Alto
2012-08-05,3849.029761904762,Alto
2012-08-12,3440.6309523809523,Alto
2012-08-19,3231.0416666666665,Alto
2012-08-26,3358.089285714286,Alto
2012-09-02,3585.470238095238,Alto
2012-09-09,3307.6071428571427,Alto
2012-09-16,2866.6190476190477,Basso
2012-09-23,2625.5238095238096,Basso
2012-09-30,2623.1130952380954,Basso
2012-10-07,2623.6428571428573,Basso
2012-10-14,2649.6011904761904,Basso
2012-10-21,2619.4523809523807,Basso
2012-10-28,2695.1488095238096,Basso
2012-11-04,2891.7664670658683,Basso
2012-11-11,2785.9166666666665,Basso
2012-11-18,2932.214285714286,Basso
2012-11-25,2719.2321428571427,Basso
2012-12-02,2973.970238095238,Basso
2012-12-09,2840.5119047619046,Basso
2012-12-16,3093.1011904761904,Basso
2012-12-23,3115.470238095238,Alto
2012-12-30,3083.6488095238096,Basso
2013-01-06,3174.565476190476,Alto
2013-01-13,2964.6011904761904,Basso
2013-01-20,3192.4821428571427,Alto
2013-01-27,3604.565476190476,Alto
2013-02-03,3275.6428571428573,Alto
2013-02-10,3207.904761904762,Alto
2013-02-17,3146.9464285714284,Alto
2013-02-24,3230.029761904762,Alto
2013-03-03,3209.0,Alto
2013-03-10,3133.8383233532936,Alto
2013-03-17,3028.8988095238096,Basso
2013-03-24,3136.3333333333335,Alto
2013-03-31,2919.7261904761904,Basso
2013-04-07,2792.1071428571427,Basso
2013-04-14,2686.4940476190477,Basso
2013-04-21,2652.8511904761904,Basso
2013-04-28,2626.1071428571427,Basso
2013-05-05,2704.4226190476193,Basso
2013-05-12,2647.375,Basso
2013-05-19,2906.0714285714284,Basso
2013-05-26,2920.6488095238096,Basso
